cyclomatic_complexity,number_of_instructions,has_methode_onReceive,full_name,is_code_smell
3,13,True,onReceive#com.mathi_amorim.emmanuel.metrictime.UpdateTimeService$2,false
1,3,False,<init>#com.mathi_amorim.emmanuel.metrictime.UpdateTimeService$2,false
2,5,True,onReceive#com.mathi_amorim.emmanuel.metrictime.UpdateTimeService$1,false
1,3,False,<init>#com.mathi_amorim.emmanuel.metrictime.UpdateTimeService$1,false
3,10,True,onReceive#com.google.android.gms.tagmanager.InstallReferrerReceiver,false
1,2,False,<init>#com.google.android.gms.tagmanager.InstallReferrerReceiver,false
1,1,False,<clinit>#com.google.android.gms.analytics.q,false
1,4,False,w#com.google.android.gms.analytics.q,false
1,3,False,<init>#com.google.android.gms.analytics.q,false
1,8,False,v#com.google.android.gms.analytics.q,false
5,15,True,onReceive#com.google.android.gms.analytics.q,false
1,1,True,onReceive#com.google.android.gms.wallet.EnableWalletOptimizationReceiver,false
1,2,False,<init>#com.google.android.gms.wallet.EnableWalletOptimizationReceiver,false
1,2,True,onReceive#com.google.android.gms.internal.ac$2,false
1,3,False,<init>#com.google.android.gms.internal.ac$2,false
1,2,False,<init>#com.google.android.gms.analytics.CampaignTrackingReceiver,false
3,9,True,onReceive#com.google.android.gms.analytics.CampaignTrackingReceiver,false
3,7,True,onReceive#com.google.android.gms.internal.eo$a,false
1,2,False,<init>#com.google.android.gms.internal.eo$a,false
1,2,False,<init>#com.google.android.gms.internal.eo$a,false
6,21,True,onReceive#com.google.android.gms.tagmanager.bn,false
1,1,False,<clinit>#com.google.android.gms.tagmanager.bn,false
1,8,False,v#com.google.android.gms.tagmanager.bn,false
1,3,False,<init>#com.google.android.gms.tagmanager.bn,false
1,4,False,w#com.google.android.gms.tagmanager.bn,false
4,15,True,onReceive#jackpal.androidterm.Term$1,false
1,3,False,<init>#jackpal.androidterm.Term$1,false
1,3,False,<init>#net.gsantner.markor.activity.MainActivity$2,false
6,27,True,onReceive#net.gsantner.markor.activity.MainActivity$2,false
11,30,True,onReceive#other.writeily.activity.WrFilesystemListFragment$1,false
1,3,False,<init>#other.writeily.activity.WrFilesystemListFragment$1,false
3,6,True,onReceive#net.gsantner.opoc.util.ShareUtil$2,false
1,5,False,<init>#net.gsantner.opoc.util.ShareUtil$2,false
1,2,False,onDeleted#other.writeily.widget.WrMarkorWidgetProvider,false
2,55,False,onUpdate#other.writeily.widget.WrMarkorWidgetProvider,false
1,2,False,onDisabled#other.writeily.widget.WrMarkorWidgetProvider,false
1,2,False,<init>#other.writeily.widget.WrMarkorWidgetProvider,false
1,2,False,onEnabled#other.writeily.widget.WrMarkorWidgetProvider,false
1,2,True,onReceive#other.writeily.widget.WrMarkorWidgetProvider,false
5,11,True,onReceive#net.pmarks.chromadoze.MediaButtonReceiver,false
1,2,False,<init>#net.pmarks.chromadoze.MediaButtonReceiver,false
2,12,False,onUpdate#net.sourceforge.opencamera.MyWidgetProviderTakePhoto,false
1,2,False,<init>#net.sourceforge.opencamera.MyWidgetProviderTakePhoto,false
1,2,True,onReceive#net.sourceforge.opencamera.MainActivity$12,false
1,3,False,<init>#net.sourceforge.opencamera.MainActivity$12,false
2,12,False,onUpdate#net.sourceforge.opencamera.MyWidgetProvider,false
1,2,False,<init>#net.sourceforge.opencamera.MyWidgetProvider,false
1,3,False,<init>#org.adblockplus.android.Preferences$4,false
8,28,True,onReceive#org.adblockplus.android.Preferences$4,false
