cyclomatic_complexity,number_of_instructions,has_methode_onReceive,full_name
3,7,false,a#org.adw.afg
1,5,false,a#org.adw.afg
11,39,false,b#org.adw.afg
1,2,false,a#org.adw.afg
3,4,false,c#org.adw.afg
1,1,false,k#org.adw.afg
7,24,false,c#org.adw.afg
3,7,false,c#org.adw.afg
1,5,false,<clinit>#org.adw.afg
1,1,false,b#org.adw.afg
1,1,false,p#org.adw.afg
3,11,false,a#org.adw.afg
1,0,false,l#org.adw.afg
8,41,false,a#org.adw.afg
3,7,false,a#org.adw.afg
1,1,false,a#org.adw.afg
1,1,false,j#org.adw.afg
2,15,false,a#org.adw.afg
1,2,false,b#org.adw.afg
1,2,false,a#org.adw.afg
1,28,false,b#org.adw.afg
1,2,false,m#org.adw.afg
1,2,false,a#org.adw.afg
1,1,false,b#org.adw.afg
2,4,false,b#org.adw.afg
1,2,false,a#org.adw.afg
1,1,false,i#org.adw.afg
1,1,false,a#org.adw.afg
1,8,false,c#org.adw.afg
1,1,false,a#org.adw.afg
1,2,false,a#org.adw.afg
1,1,false,e#org.adw.afg
11,45,false,a#org.adw.afg
1,2,false,s#org.adw.afg
1,1,false,n#org.adw.afg
2,3,false,e#org.adw.afg
1,3,false,r#org.adw.afg
2,6,false,a#org.adw.afg
1,2,false,a#org.adw.afg
1,1,false,g#org.adw.afg
1,1,false,q#org.adw.afg
1,2,false,q#org.adw.afg
2,11,false,b#org.adw.afg
1,1,false,b#org.adw.afg
1,3,false,z#org.adw.afg
1,1,false,h#org.adw.afg
7,35,false,a#org.adw.afg
3,7,false,a#org.adw.afg
3,23,false,d#org.adw.afg
8,17,false,a#org.adw.afg
1,2,false,a#org.adw.afg
2,11,false,e#org.adw.afg
7,37,false,d#org.adw.afg
1,2,false,a#org.adw.afg
7,48,false,a#org.adw.afg
1,2,false,a#org.adw.afg
5,12,false,a#org.adw.afg
2,10,false,j#org.adw.afg
10,58,false,g#org.adw.afg
1,7,false,b#org.adw.afg
1,2,false,a#org.adw.afg
1,1,false,a#org.adw.afg
4,19,false,a#org.adw.afg
1,1,false,f#org.adw.afg
1,1,false,a#org.adw.afg
1,2,false,b#org.adw.afg
1,1,false,e#org.adw.afg
1,2,false,a#org.adw.afg
2,42,false,<init>#org.adw.afg
3,7,false,b#org.adw.afg
2,5,false,b#org.adw.afg
1,2,false,a#org.adw.afg
1,3,false,a#org.adw.afg
1,1,false,c#org.adw.afg
1,3,false,a#org.adw.afg
2,4,false,c#org.adw.afg
1,4,false,a#org.adw.afg
1,2,false,e#org.adw.afg
1,2,false,t#org.adw.afg
1,3,false,a#org.adw.afg
11,38,false,a#org.adw.afg
1,4,false,a#org.adw.afg
2,2,false,a#org.adw.afg
2,4,false,b#org.adw.afg
1,2,false,f#org.adw.afg
1,2,false,<init>#org.adw.aed
2,9,false,unregister#com.google.android.gms.common.api.internal.zabq
1,3,false,<init>#com.google.android.gms.common.api.internal.zabq
1,2,false,zac#com.google.android.gms.common.api.internal.zabq
3,10,true,onReceive#com.google.android.gms.common.api.internal.zabq
2,12,false,setWantWifiLock#org.connectbot.service.ConnectivityReceiver
2,4,false,cleanup#org.connectbot.service.ConnectivityReceiver
3,19,false,<init>#org.connectbot.service.ConnectivityReceiver
3,6,false,releaseWifiLockIfNecessaryLocked#org.connectbot.service.ConnectivityReceiver
1,9,false,incRef#org.connectbot.service.ConnectivityReceiver
4,8,false,acquireWifiLockIfNecessaryLocked#org.connectbot.service.ConnectivityReceiver
1,9,false,decRef#org.connectbot.service.ConnectivityReceiver
8,30,true,onReceive#org.connectbot.service.ConnectivityReceiver
1,2,false,isConnected#org.connectbot.service.ConnectivityReceiver
2,7,true,onReceive#org.freshrss.easyrss.SyncingReceiver
1,2,false,<init>#org.freshrss.easyrss.SyncingReceiver
2,15,false,a#com.google.android.gms.internal.zzsy
1,1,false,h#com.google.android.gms.internal.zzsy
5,17,true,onReceive#com.google.android.gms.internal.zzsy
2,3,false,e#com.google.android.gms.internal.zzsy
3,9,false,f#com.google.android.gms.internal.zzsy
1,1,false,j#com.google.android.gms.internal.zzsy
1,1,false,i#com.google.android.gms.internal.zzsy
1,4,false,<init>#com.google.android.gms.internal.zzsy
1,2,false,d#com.google.android.gms.internal.zzsy
1,3,false,g#com.google.android.gms.internal.zzsy
2,8,false,c#com.google.android.gms.internal.zzsy
1,1,false,<clinit>#com.google.android.gms.internal.zzsy
2,11,false,b#com.google.android.gms.internal.zzsy
1,1,false,a#com.google.android.gms.analytics.CampaignTrackingReceiver
2,5,false,a#com.google.android.gms.analytics.CampaignTrackingReceiver
1,2,false,<init>#com.google.android.gms.analytics.CampaignTrackingReceiver
1,1,false,<clinit>#com.google.android.gms.analytics.CampaignTrackingReceiver
7,39,true,onReceive#com.google.android.gms.analytics.CampaignTrackingReceiver
1,1,false,a#com.google.android.gms.analytics.CampaignTrackingReceiver
1,3,false,<init>#com.google.android.gms.internal.zzaar
1,2,false,a#com.google.android.gms.internal.zzaar
3,9,true,onReceive#com.google.android.gms.internal.zzaar
2,9,false,a#com.google.android.gms.internal.zzaar
2,3,false,a#com.google.android.gms.analytics.AnalyticsReceiver
1,2,false,<init>#com.google.android.gms.analytics.AnalyticsReceiver
1,2,true,onReceive#com.google.android.gms.analytics.AnalyticsReceiver
2,8,true,onReceive#org.ligi.passandroid.InstallListener
