has_onLowMemory,extend_class,full_name,is_code_smell
False,False,org.adblockplus.android.ProxyConfigurationActivity,true
False,False,org.adblockplus.android.CrashReportDialog,true
False,False,org.adblockplus.android.Preferences,true
False,False,org.adblockplus.android.ConfigurationActivity,true
False,False,aarddict.android.Lookup,true
False,False,aarddict.android.LookupActivity,true
False,False,aarddict.android.BaseDictionaryActivity,true
False,False,aarddict.android.Article,true
False,False,aarddict.android.ArticleViewActivity,true
False,False,aarddict.android.DictionariesActivity,true
False,False,aarddict.android.DictionaryInfoActivity,true
False,False,com.watabou.pixeldungeon.PixelDungeon,true
False,False,com.eolwral.osmonitor.OSMonitorActivity,true
False,False,com.eolwral.osmonitor.OSMonitor,true
False,False,com.eolwral.osmonitor.preference.Preference,true
False,False,org.adw.launcher.catalogue.AppInfoMList,true
False,False,org.adw.launcher.CustomShirtcutActivity,true
False,False,org.adw.launcher.WallpaperChooser,true
False,False,org.adw.launcher.ActivityPickerActivity,true
False,False,org.adw.launcher.Launcher,true
False,False,org.adw.launcher.MyLauncherSettings,true
False,False,net.sourceforge.opencamera.TakePhoto,true
False,False,net.sourceforge.opencamera.MainActivity,true
False,False,org.hystudio.android.dosbox.MainActivity,true
False,False,com.google.android.stardroid.activities.DynamicStarMapActivity,true
False,False,com.google.android.stardroid.activities.ImageDisplayActivity,true
False,False,com.google.android.stardroid.activities.EulaActivity,true
False,False,com.google.android.stardroid.activities.ImageGalleryActivity,true
False,False,com.google.android.stardroid.activities.EditSettingsActivity,true
False,False,com.google.android.stardroid.activities.SplashScreenActivity,true
False,False,org.tint.ui.activities.BookmarksActivity,true
False,False,org.tint.ui.activities.TintBrowserActivity,true
False,False,org.tint.ui.preferences.PreferencesActivity,true
False,False,org.tint.ui.activities.EditBookmarkActivity,true
False,False,org.connectbot.EditHostActivity,true
False,False,org.connectbot.EulaActivity,true
False,False,org.connectbot.HintsActivity,true
False,False,org.connectbot.ConsoleActivity,true
False,False,org.connectbot.PubkeyListActivity,true
False,False,org.connectbot.AppCompatListActivity,true
False,False,org.connectbot.ColorsActivity,true
False,False,org.connectbot.AppCompatPreferenceActivity,true
False,False,org.connectbot.SettingsActivity,true
False,False,org.connectbot.PortForwardListActivity,true
False,False,org.connectbot.HelpActivity,true
False,False,org.connectbot.HostListActivity,true
