has_onLowMemory,extend_class,full_name
false,false,com.liato.bankdroid.lockpattern.ChooseLockPatternTutorial
false,false,com.liato.bankdroid.appwidget.WidgetConfigureActivity
false,false,com.liato.bankdroid.lockpattern.ChooseLockPattern
false,false,com.liato.bankdroid.SettingsActivity
false,false,com.liato.bankdroid.PairApplicationsActivity
false,false,com.liato.bankdroid.BankEditActivity
false,false,com.liato.bankdroid.TransactionsActivity
false,false,com.liato.bankdroid.MainActivity
false,false,com.liato.bankdroid.lockpattern.ConfirmLockPattern
false,false,com.liato.bankdroid.lockpattern.ChooseLockPatternExample
false,false,com.liato.bankdroid.WebViewActivity
false,false,com.shkmishra.lyrically.PreferenceActivity
false,false,com.shkmishra.lyrically.MainActivity
