lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,is_code_smell
39,19,18,True
234,25,17,True
344,28,14,True
695,47,14,True
1387,55,16,True
5949,114,37,True
324,29,27,True
189,22,17,True
112,24,15,True
515,35,11,True
110,17,14,True
281,30,13,True
78,16,15,True
114,20,17,True
165,31,27,True
1771,63,23,True
5772,113,44,True
319,30,25,True
396,29,10,True
604,41,21,True
116,25,28,True
359,31,18,True
93,19,11,True
28,17,39,True
195,23,11,True
45,15,17,True
598,44,12,True
688,41,10,True
119,19,24,True
91,18,14,True
526,40,11,True
2290,77,28,True
660,45,11,True
126,45,9,True
3267,82,10,True
636,45,15,True
411,35,18,True
1324,68,10,True
165,23,9,True
13128,169,77,True
332,33,9,True
503,38,24,True
286,28,9,True
364,44,15,True
70,16,11,True
1184,60,18,True
578,40,12,True
3001,90,23,True
1003,47,20,True
108,17,18,True
1262,57,18,True
483,38,19,True
860,49,23,True
277,27,11,True
359,31,10,True
159,19,11,True
846,44,9,True
615,39,18,True
47,18,14,True
670,40,15,True
413,31,13,True
368,33,28,True
317,30,11,True
150,20,10,True
1837,71,29,True
116,25,17,True
96,16,16,True
107,26,10,True
582,37,25,True
470,37,23,True
763,43,25,True
894,48,34,True
320,32,26,True
300,28,13,True
1099,59,37,True
235,26,13,True
103,18,12,True
444,36,45,True
132,25,12,True
255,43,29,True
218,28,14,True
108,17,10,True
44,16,14,True
201,22,19,True
112,16,11,True
258,32,39,True
116,17,10,True
205,26,26,True
1165,54,24,True
1299,55,29,True
196,24,14,True
343,30,12,True
54,17,58,True
3965,102,64,True
62,20,13,True
4386,105,63,True
218,24,31,True
80,20,22,True
258,29,21,True
93,23,27,True
110,21,31,True
154,20,14,True
2580,77,24,True
301,30,18,True
350,32,21,True
168,21,11,True
11939,179,152,True
906,49,25,True
161,22,32,True
95,15,15,True
5747,122,36,True
4486,108,38,True
6238,133,42,True
1826,64,24,True
18994,221,125,True
152,25,10,True
43,15,13,True
98,16,10,True
1560,60,19,True
112,36,38,True
184,25,19,True
164,29,13,True
141,23,10,True
888,44,14,True
107,19,16,True
704,40,10,True
228,25,14,True
1054,48,17,True
80,17,10,True
133,26,14,True
510,37,16,True
57,15,10,True
57,39,12,True
143,26,11,True
928,52,15,True
2139,78,28,True
204,24,13,True
542,36,17,True
84,16,9,True
59,19,20,True
94,24,12,True
105,19,10,True
150,21,21,True
726,44,16,True
50,17,21,True
781,51,33,True
58,16,16,True
622,41,43,True
51,19,9,True
276,29,32,True
231,30,49,True
844,48,26,True
887,50,40,True
757,43,19,True
147,22,12,True
652,44,19,True
64,17,13,True
247,26,16,True
86,17,19,True
51,26,11,True
139,19,11,True
48,13,38,True
1255,62,12,True
285,30,17,True
47,23,9,True
124,21,19,True
370,29,11,True
1414,56,15,True
57,14,22,True
313,26,9,True
246,29,18,True
298,29,22,True
40,16,18,True
33,11,9,True
813,42,13,True
559,39,27,True
82,17,18,True
52,13,28,True
199,23,17,True
78,17,13,True
76,16,27,True
207,23,9,True
187,22,10,True
371,31,12,True
104,17,13,True
15,11,9,True
16,12,21,True
183,23,11,True
248,25,19,True
12,8,13,True
137,18,11,True
273,26,19,True
25,10,10,True
135,35,25,True
2077,78,50,True
208,28,31,True
131,19,13,True
765,46,23,True
65,15,12,True
228,28,21,True
267,26,18,True
379,38,20,True
36,13,16,True
2958,89,43,True
138,24,16,True
908,48,44,True
536,41,11,True
179,27,19,True
105,23,12,True
106,17,10,True
47,14,15,True
106,20,11,True
1656,61,32,True
626,37,19,True
26,8,11,True
219,23,15,True
190,21,10,True
297,27,11,True
206,21,21,True
378,29,15,True
87,14,14,True
23,15,17,True
378,29,14,True
16,9,19,True
207,31,38,True
31,10,13,True
30,9,13,True
231,23,11,True
108,17,9,True
105,15,15,True
166,20,11,True
21,11,10,True
142,20,18,True
488,33,16,True
47,11,10,True
190,21,10,True
31,10,9,True
39,10,14,True
1310,56,28,True
