is_static,full_name
false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$9
false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$8
false,org.bottiger.podcast.FeedActivity$analyzeWhitenessOfPhotoPostProcessor$1
false,org.bottiger.podcast.adapters.AbstractPodcastAdapter$1
false,org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller$3
false,org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller$4
false,org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller$5
false,org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller$6
false,org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller$1
false,org.bottiger.podcast.utils.navdrawer.NavItem$1
false,org.bottiger.podcast.views.SwipeDismissRecyclerViewTouchListener$1
false,org.bottiger.podcast.views.SwipeDismissRecyclerViewTouchListener$2
false,org.bottiger.podcast.views.SwipeDismissRecyclerViewTouchListener$3
false,org.bottiger.podcast.views.SwipeDismissRecyclerViewTouchListener$4
false,org.bottiger.podcast.DiscoveryFragment$3
false,org.bottiger.podcast.DiscoveryFragment$2
false,org.bottiger.podcast.DiscoveryFragment$4
false,org.bottiger.podcast.DiscoveryFragment$1
false,org.bottiger.podcast.receiver.PodcastUpdateReceiver$1
false,org.bottiger.podcast.views.TintedFramelayout$1
false,org.bottiger.podcast.service.HTTPDService$1
false,org.bottiger.podcast.views.MultiSpinner$1
false,org.bottiger.podcast.notification.NotificationPlayer$1
false,org.bottiger.podcast.PlaylistFragment$1
false,org.bottiger.podcast.PlaylistFragment$2
false,org.bottiger.podcast.PlaylistFragment$3
false,org.bottiger.podcast.PlaylistFragment$4
false,org.bottiger.podcast.PlaylistFragment$5
false,org.bottiger.podcast.PlaylistFragment$6
false,org.bottiger.podcast.PlaylistFragment$7
false,org.mariotaku.twidere.activity.support.UserListSelectorActivity$GetUserListsTask$1
false,org.mariotaku.twidere.view.StatusTextView$SafeEditableFactory
false,org.mariotaku.twidere.util.AsyncTwitterWrapper$CreateSavedSearchTask
false,org.mariotaku.twidere.preference.SeekBarDialogPreference$1
false,org.mariotaku.twidere.util.AsyncTwitterWrapper$DestroyMuteTask
false,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$1
false,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$2
false,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$3
false,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$4
false,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$5
false,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$6
false,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$7
false,org.mariotaku.twidere.fragment.support.MessagesConversationFragment$8
false,org.mariotaku.twidere.activity.TwitterLinkHandlerActivity$TwitterLinkException
false,org.mariotaku.twidere.nyan.NyanWallpaperService$NyanWallpaperEngine
false,org.mariotaku.twidere.util.AsyncTwitterWrapper$CreateUserListTask
false,org.mariotaku.twidere.util.TwidereActionModeForChildListener$ActionModeCallbackWrapper
false,org.mariotaku.twidere.activity.SettingsActivity$1
false,org.mariotaku.twidere.fragment.support.QuickMenuFragment$1
false,org.mariotaku.twidere.fragment.support.ColorPickerDialogFragment$1
false,org.mariotaku.twidere.util.AsyncTwitterWrapper$GetStatusesTask
false,org.mariotaku.twidere.util.net.OkHttpRestClient$OkHttpQueuedRequest$1
false,org.mariotaku.twidere.util.AsyncTwitterWrapper$DenyFriendshipTask
false,org.mariotaku.twidere.activity.support.LinkHandlerActivity$2
false,org.mariotaku.twidere.adapter.MessageEntriesAdapter$1
false,org.mariotaku.twidere.activity.support.LinkHandlerActivity$1
false,org.mariotaku.twidere.fragment.support.ParcelableStatusesFragment$ParcelableStatusesBusCallback
false,org.mariotaku.twidere.api.twitter.auth.OAuthAuthorization$1
false,org.mariotaku.twidere.service.StreamingService$1
false,org.mariotaku.twidere.service.StreamingService$2
false,org.mariotaku.twidere.preference.NetworkUsageSummaryPreferences$1
false,org.mariotaku.twidere.util.AsyncTwitterWrapper$GetLocalTrendsTask
false,org.mariotaku.twidere.util.AsyncTwitterWrapper$GetTrendsTask
false,org.mariotaku.twidere.service.BackgroundOperationService$1
false,org.mariotaku.twidere.util.AsyncTwitterWrapper$CreateFriendshipTask
false,org.mariotaku.twidere.service.BackgroundOperationService$4
false,org.mariotaku.twidere.service.BackgroundOperationService$5
false,org.mariotaku.twidere.service.BackgroundOperationService$2
false,org.mariotaku.twidere.service.BackgroundOperationService$3
false,org.mariotaku.twidere.util.AsyncTwitterWrapper$ClearNotificationTask
false,org.mariotaku.twidere.fragment.support.CursorStatusesFragment$2
