lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name
3,3,0,org.codehaus.jackson.map.ext.CoreXMLDeserializers$DOMDocumentDeserializer
6,4,0,org.codehaus.jackson.map.ext.JodaSerializers$LocalDateTimeSerializer
10,5,1,org.codehaus.jackson.map.ser.StdSerializers$IntLikeSerializer
13,6,1,org.codehaus.jackson.map.type.TypeParser
3,3,0,org.codehaus.jackson.map.deser.ArrayDeserializers$DoubleDeser
10,5,1,org.codehaus.jackson.map.ser.StdSerializers$UtilDateSerializer
0,1,0,org.codehaus.jackson.map.ser.StdSerializers
0,2,1,org.codehaus.jackson.map.deser.PropertyValue$Regular
6,4,0,org.codehaus.jackson.map.ser.StdSerializers$SqlDateSerializer
0,1,0,org.codehaus.jackson.annotate.JsonContentClass
0,1,0,org.codehaus.jackson.annotate.JsonProperty
0,3,1,aarddict.android.LookupActivity$WordAdapter$1
0,2,0,org.codehaus.jackson.impl.Indenter
4,4,2,org.codehaus.jackson.sym.NameN
6,8,3,aarddict.android.ArticleView
1,6,2,org.codehaus.jackson.sym.Name1
0,4,2,org.codehaus.jackson.sym.Name2
4,4,3,org.codehaus.jackson.sym.Name3
0,4,1,org.codehaus.jackson.map.ser.SerializerCache$TypedKeyFull
6,4,0,org.codehaus.jackson.map.deser.StdDeserializer$NumberDeserializer
0,1,0,aarddict.Header$1
0,1,0,aarddict.RedirectTooManyLevels
10,5,0,org.codehaus.jackson.map.ser.ArraySerializers$BooleanArraySerializer
0,5,2,org.codehaus.jackson.map.ser.JsonValueSerializer
0,1,2,org.codehaus.jackson.impl.JsonGeneratorBase$1
1,4,0,org.codehaus.jackson.map.introspect.AnnotatedMember
0,1,1,org.codehaus.jackson.impl.JsonParserBase$1
0,2,0,org.codehaus.jackson.annotate.JsonIgnoreProperties
0,6,3,aarddict.android.HistoryItem
0,2,1,aarddict.android.LookupActivity$7
0,2,1,aarddict.android.LookupActivity$6
2,5,3,org.codehaus.jackson.map.util.PrimitiveArrayBuilder$Node
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$ByteDeserializer
0,2,1,aarddict.android.LookupActivity$1
1,2,1,aarddict.android.LookupActivity$3
0,2,2,aarddict.android.LookupActivity$2
4,5,2,aarddict.android.LookupActivity$5
0,2,2,aarddict.android.LookupActivity$4
4,8,3,org.codehaus.jackson.map.util.JSONPObject
0,2,1,org.codehaus.jackson.map.ser.FilteredBeanPropertyWriter$SingleView
0,2,1,org.codehaus.jackson.map.deser.StdKeyDeserializer$StringCtorKeyDeserializer
10,5,1,org.codehaus.jackson.map.ser.StdSerializers$DoubleSerializer
1,2,0,org.codehaus.jackson.map.DeserializationProblemHandler
10,5,1,org.codehaus.jackson.map.ser.StdSerializers$LongSerializer
0,3,1,aarddict.android.BaseDictionaryActivity$3
0,2,3,aarddict.android.BaseDictionaryActivity$2
0,3,1,aarddict.android.BaseDictionaryActivity$1
0,1,0,org.codehaus.jackson.map.annotate.JsonTypeResolver
1,4,1,org.codehaus.jackson.map.jsontype.impl.TypeSerializerBase
2,8,2,org.codehaus.jackson.sym.Name
0,4,1,org.codehaus.jackson.map.deser.SettableBeanProperty$SetterlessProperty
4,5,2,org.codehaus.jackson.map.deser.EnumSetDeserializer
0,0,0,org.codehaus.jackson.annotate.JsonCreator
3,3,0,org.codehaus.jackson.map.util.ArrayBuilders$ByteBuilder
0,2,3,org.codehaus.jackson.map.deser.Creator$StringBased
0,2,1,aarddict.android.BaseDictionaryActivity$3$1
6,4,2,org.codehaus.jackson.util.InternCache
3,3,0,org.codehaus.jackson.map.util.ArrayBuilders$BooleanBuilder
0,2,1,aarddict.android.BaseDictionaryActivity$3$2
0,1,0,aarddict.Volume$InvalidSignatureException
6,4,0,org.codehaus.jackson.map.ser.StdSerializers$SqlTimeSerializer
6,9,1,org.codehaus.jackson.node.POJONode
