lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name,is_code_smell
510,37,16,org.tint.ui.views.PhoneUrlBar,true
57,15,10,org.tint.ui.views.TabView,true
57,39,12,org.tint.addons.Addon,true
143,26,11,org.tint.ui.managers.BasePhoneUIManager,true
928,52,15,org.tint.ui.managers.BaseUIManager,true
2139,78,28,org.tint.ui.views.ScrollerView,true
204,24,13,org.tint.ui.preferences.SearchEnginePreference,true
542,36,17,org.tint.ui.managers.LegacyPhoneUIManager,true
84,16,9,org.tint.ui.preferences.WebsitesSettingsFragment$SiteAdapter,true
59,19,20,org.tint.ui.fragments.HistoryFragment,true
94,24,12,org.tint.providers.BookmarksWrapper,true
105,19,10,org.tint.ui.views.TabletUrlBar,true
150,21,21,org.tint.ui.fragments.BookmarksFragment,true
726,44,16,org.tint.ui.views.TabsScroller,true
50,17,21,org.tint.ui.views.PanelLayout,true
781,51,33,org.connectbot.service.TerminalBridge,true
58,16,16,org.connectbot.service.TerminalKeyListener,true
622,41,43,org.connectbot.HostEditorFragment,true
51,19,9,org.connectbot.bean.PortForwardBean,true
276,29,32,org.connectbot.TerminalView,true
231,30,49,org.connectbot.util.UberColorPickerDialog$ColorPickerView,true
844,48,26,org.connectbot.service.TerminalManager,true
887,50,40,org.connectbot.ConsoleActivity,true
757,43,19,org.connectbot.transport.SSH,true
147,22,12,org.connectbot.bean.PubkeyBean,true
652,44,19,org.connectbot.bean.HostBean,true
64,17,13,org.connectbot.HostListActivity,true
247,26,16,org.connectbot.GeneratePubkeyActivity,true
86,17,19,com.internalpositioning.find3.find3app.ScanService,true
51,26,11,net.gsantner.markor.activity.DocumentEditFragment,true
139,19,11,org.freshrss.easyrss.network.AbsDataSyncer,true
48,13,38,org.freshrss.easyrss.data.Setting,true
1255,62,12,org.freshrss.easyrss.data.DataMgr,true
285,30,17,org.freshrss.easyrss.view.OverScrollView,true
47,23,9,org.freshrss.easyrss.Home,true
124,21,19,org.freshrss.easyrss.VerticalSingleItemView,true
370,29,11,org.freshrss.easyrss.WebpageItemViewCtrl,true
1414,56,15,org.freshrss.easyrss.FeedViewCtrl,true
57,14,22,org.freshrss.easyrss.view.ScaleGestureDetector,true
313,26,9,org.freshrss.easyrss.LoginViewCtrl,true
246,29,18,org.freshrss.easyrss.view.TouchImageView,true
298,29,22,org.freshrss.easyrss.data.Subscription,true
40,16,18,org.freshrss.easyrss.view.HorizontalPager,true
33,11,9,org.freshrss.easyrss.data.ItemTag,true
813,42,13,org.freshrss.easyrss.HomeViewCtrl,true
559,39,27,org.freshrss.easyrss.data.Item,true
82,17,18,org.freshrss.easyrss.data.Transaction,true
52,13,28,org.freshrss.easyrss.data.DataProvider,true
199,23,17,org.freshrss.easyrss.network.NetworkMgr,true
78,17,13,org.freshrss.easyrss.data.Tag,true
76,16,27,org.freshrss.easyrss.view.Scroller,true
207,23,9,ch.abertschi.adfree.view.setting.SettingsActivity,true
187,22,10,ch.abertschi.adfree.model.RemoteSetting,true
371,31,12,ch.abertschi.adfree.plugin.interdimcable.InterdimCablePlugin,true
104,17,13,com.amaze.filemanager.asynchronous.services.ZipService,true
15,11,9,com.amaze.filemanager.activities.DatabaseViewerActivity,true
16,12,21,com.amaze.filemanager.fragments.ProcessViewerFragment,true
183,23,11,com.amaze.filemanager.adapters.CompressedExplorerAdapter,true
248,25,19,com.amaze.filemanager.asynchronous.services.EncryptService,true
12,8,13,com.amaze.filemanager.ui.dialogs.GeneralDialogCreation$1,true
137,18,11,com.amaze.filemanager.utils.application.AppConfig,true
273,26,19,com.amaze.filemanager.asynchronous.services.DecryptService,true
25,10,10,com.amaze.filemanager.fragments.AppsListFragment,true
135,35,25,com.amaze.filemanager.adapters.RecyclerAdapter,true
2077,78,50,com.amaze.filemanager.fragments.MainFragment,true
208,28,31,com.amaze.filemanager.fragments.CompressedExplorerFragment,true
131,19,13,com.amaze.filemanager.asynchronous.services.ExtractService,true
765,46,23,com.amaze.filemanager.fragments.FtpServerFragment,true
65,15,12,com.amaze.filemanager.utils.ServiceWatcherUtil,true
228,28,21,com.amaze.filemanager.ui.views.appbar.BottomBar,true
267,26,18,com.amaze.filemanager.asynchronous.services.CopyService,true
379,38,20,com.amaze.filemanager.ui.views.drawer.Drawer,true
36,13,16,com.amaze.filemanager.adapters.data.LayoutElementParcelable,true
2958,89,43,com.amaze.filemanager.activities.MainActivity,true
138,24,16,com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask,true
908,48,44,com.amaze.filemanager.ui.views.Indicator,true
536,41,11,com.amaze.filemanager.utils.DataUtils,true
179,27,19,com.amaze.filemanager.activities.TextEditorActivity,true
105,23,12,net.pmarks.chromadoze.UIState,true
106,17,10,net.pmarks.chromadoze.NoiseService,true
47,14,15,net.pmarks.chromadoze.EqualizerView,true
106,20,11,net.pmarks.chromadoze.SampleShuffler,true
1656,61,32,com.liato.bankdroid.banking.Bank,true
626,37,19,com.liato.bankdroid.banking.banks.sebkort.model.BillingUnit,true
26,8,11,com.liato.bankdroid.banking.banks.seb.SEB,true
219,23,15,com.liato.bankdroid.lockpattern.LockPatternUtils,true
190,21,10,com.liato.bankdroid.banking.banks.icabanken.model.IcaBankenAccountList,true
297,27,11,com.liato.bankdroid.banking.Account,true
206,21,21,com.liato.bankdroid.banking.banks.avanza.model.Account,true
378,29,15,com.liato.bankdroid.banking.banks.sebkort.model.Transaction,true
87,14,14,com.liato.bankdroid.banking.banks.bitcoin.model.Transfer,true
23,15,17,com.liato.bankdroid.lockpattern.ChooseLockPattern,true
378,29,14,com.liato.bankdroid.banking.banks.icabanken.model.IcaBankenAccount,true
16,9,19,com.liato.bankdroid.banking.banks.Skandiabanken,true
207,31,38,com.liato.bankdroid.lockpattern.LockPatternView,true
31,10,13,com.liato.bankdroid.banking.banks.lansforsakringar.Lansforsakringar,true
30,9,13,com.liato.bankdroid.banking.banks.SveaDirekt,true
231,23,11,com.liato.bankdroid.banking.banks.coop.model.web.Result,true
108,17,9,com.liato.bankdroid.banking.banks.sebkort.model.PendingTransactions,true
105,15,15,com.liato.bankdroid.banking.banks.avanza.model.Position,true
166,20,11,com.liato.bankdroid.api.configuration.FieldBuilder$BasicField,true
21,11,10,com.liato.bankdroid.liveview.LiveViewService,true
142,20,18,com.liato.bankdroid.lockpattern.ConfirmLockPattern,true
488,33,16,com.liato.bankdroid.banking.banks.ica.model.Overview,true
47,11,10,com.liato.bankdroid.banking.banks.coop.Coop,true
190,21,10,com.liato.bankdroid.banking.banks.lansforsakringar.model.response.Account,true
31,10,9,com.liato.bankdroid.lockpattern.ChooseLockPatternExample,true
39,10,14,com.liato.bankdroid.provider.BankTransactionsProvider,true
1310,56,28,com.shkmishra.lyrically.LyricsService,true
0,2,1,ch.blinkenlights.battery.BlinkenlightsBattery$2,false
0,2,1,ch.blinkenlights.battery.BlinkenlightsBattery$1,false
0,2,1,ch.blinkenlights.battery.BlinkenlightsBatteryService$LocalBinder,false
1,2,1,ch.blinkenlights.battery.BlinkenlightsBattery$6,false
1,2,0,ch.blinkenlights.battery.BlinkenlightsBatteryChangeReceiver,false
0,2,2,ch.blinkenlights.battery.BlinkenlightsBattery$5,false
0,2,1,ch.blinkenlights.battery.BlinkenlightsBattery$4,false
1,2,0,ch.blinkenlights.battery.BlinkenlightsBatteryBootReceiver,false
0,2,1,ch.blinkenlights.battery.BlinkenlightsBattery$3,false
0,2,1,ch.blinkenlights.battery.BlinkenlightsBatteryService$1,false
1,3,1,ch.blinkenlights.battery.BBServiceConnection,false
0,5,2,org.codehaus.jackson.impl.ObjectWContext,false
10,5,0,org.codehaus.jackson.map.ser.ArraySerializers$StringArraySerializer,false
0,1,0,org.codehaus.jackson.map.JsonSerializable,false
9,6,3,org.codehaus.jackson.io.NumberInput,false
9,7,2,org.codehaus.jackson.util.JsonParserSequence,false
1,3,1,aarddict.PreferredDictionaryComparator,false
3,3,0,org.codehaus.jackson.map.deser.ArrayDeserializers$ByteDeser,false
0,1,0,org.codehaus.jackson.map.annotate.JsonCachable,false
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$LongDeserializer,false
