lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name,is_code_smell
1,3,1,net.gsantner.markor.activity.SettingsActivity_ViewBinding,false
10,5,0,com.vladsch.flexmark.parser.block.BlockContinue,false
6,4,0,com.vladsch.flexmark.superscript.internal.SuperscriptJiraRenderer,false
1,2,0,com.vladsch.flexmark.ext.jekyll.tag.JekyllTagVisitorExt,false
1,2,0,com.vladsch.flexmark.formatter.internal.Formatter$3,false
0,2,1,net.gsantner.markor.format.markdown.-$$Lambda$MarkdownTextActions$U8_3faG8cHpSXKpLyW8q1Tj-gDI,false
10,5,0,com.vladsch.flexmark.formatter.internal.Formatter$2,false
1,2,1,com.vladsch.flexmark.formatter.internal.Formatter$1,false
6,4,0,com.vladsch.flexmark.ext.autolink.AutolinkExtension,false
10,5,0,com.vladsch.flexmark.ext.toc.internal.SimTocOptionTypes$3,false
10,5,0,com.vladsch.flexmark.ext.toc.internal.SimTocOptionTypes$4,false
10,5,0,com.vladsch.flexmark.ext.toc.internal.SimTocOptionTypes$5,false
10,5,0,com.vladsch.flexmark.ext.toc.internal.SimTocOptionTypes$6,false
10,5,0,com.vladsch.flexmark.ext.toc.internal.SimTocOptionTypes$7,false
10,5,0,com.vladsch.flexmark.ext.toc.internal.SimTocOptionTypes$8,false
0,1,0,net.gsantner.opoc.ui.FilesystemDialogData,false
10,5,0,com.vladsch.flexmark.ext.toc.internal.SimTocOptionTypes$9,false
1,2,0,net.gsantner.markor.util.AndroidSupportMeWrapper,false
0,2,2,net.gsantner.markor.format.general.ColorUnderlineSpan,false
3,3,1,net.gsantner.opoc.preference.-$$Lambda$FontPreferenceCompat$TtkimVqI4VgPj_EKL1oW5qm9X3g,false
10,5,0,com.vladsch.flexmark.ext.wikilink.internal.WikiLinkLinkRefProcessor$Factory,false
10,5,0,com.vladsch.flexmark.ext.toc.internal.SimTocOptionTypes$11,false
10,5,0,com.vladsch.flexmark.ext.toc.internal.SimTocOptionTypes$10,false
10,5,0,com.vladsch.flexmark.ext.toc.internal.SimTocOptionTypes$1,false
10,5,0,com.vladsch.flexmark.ext.toc.internal.SimTocOptionTypes$2,false
0,1,0,com.flask.colorpicker.builder.ColorPickerClickListener,false
1,3,2,com.vladsch.flexmark.ext.toc.internal.TocFormatOptions,false
0,2,4,com.vladsch.flexmark.ext.gfm.tasklist.internal.TaskListNodeRenderer$2,false
1,3,1,com.vladsch.flexmark.ext.gfm.tasklist.internal.TaskListNodeRenderer$1,false
1,2,0,com.vladsch.flexmark.ext.wikilink.WikiImage,false
3,3,0,com.vladsch.flexmark.ext.anchorlink.AnchorLink,false
8,8,2,net.gsantner.markor.format.markdown.MarkdownTextActions$MarkdownTextActionsImpl,false
0,1,0,butterknife.BindView,false
1,3,1,com.vladsch.flexmark.ext.ins.InsVisitorExt$1,false
1,2,0,com.flask.colorpicker.builder.ColorWheelRendererBuilder,false
0,2,1,net.gsantner.markor.ui.hleditor.-$$Lambda$TextActions$rHQNDuSxk4MO6SjAZHhlsdWpGBE,false
3,3,0,com.vladsch.flexmark.internal.IndentedCodeBlockParser$BlockFactory,false
3,3,1,net.gsantner.markor.ui.hleditor.-$$Lambda$Highlighter$qKy_kx6WFbG79s2ON_RNKccycUk,false
0,2,3,net.gsantner.markor.format.markdown.-$$Lambda$MarkdownTextActions$1S0g0EwHBivBPxUAfXVSo6Y6B68,false
3,3,2,com.vladsch.flexmark.ext.emoji.internal.EmojiReference,false
0,0,0,com.vladsch.flexmark.internal.ThematicBreakParser$1,false
0,1,0,com.vladsch.flexmark.parser.InlineParserFactory,false
1,3,1,com.vladsch.flexmark.ext.toc.internal.SimTocNodeFormatter$1,false
1,3,1,com.vladsch.flexmark.ext.toc.internal.SimTocNodeFormatter$2,false
0,2,3,net.gsantner.markor.format.markdown.-$$Lambda$MarkdownTextActions$1$Xsd_BkSsm4sHyPq2QjEYYdfIE8I,false
0,1,0,com.vladsch.flexmark.util.Computable,false
0,7,4,com.vladsch.flexmark.util.collection.iteration.IndexedIterator,false
3,4,0,com.vladsch.flexmark.ast.AllNodesVisitor,false
3,3,0,com.vladsch.flexmark.ast.HardLineBreak,false
0,0,0,com.vladsch.flexmark.ast.NonRenderingInline,false
4,4,4,com.vladsch.flexmark.util.format.options.KeepAtStartOfLine,false
0,8,0,com.vladsch.flexmark.util.options.MutableDataHolder,false
1,3,1,net.gsantner.markor.activity.DocumentShareIntoFragment$ShareIntoImportOptionsFragment$1,false
3,3,0,com.vladsch.flexmark.util.collection.NodeCollectingVisitor$1,false
14,8,3,com.vladsch.flexmark.html.DelegatingNodeRendererFactoryWrapper,false
3,3,1,other.writeily.ui.-$$Lambda$WrFilesystemListAdapter$i0D_1g1srTwYWQ1WK6Ocn8kYcsw,false
0,1,0,butterknife.OnTouch,false
0,6,0,com.vladsch.flexmark.util.BlockTracker,false
3,3,1,net.gsantner.markor.util.ShareUtil,false
0,2,4,net.gsantner.markor.format.todotxt.-$$Lambda$TodoTxtTextActions$TodoTxtTextActionsImpl$xVQfOcI2g1zHkCRjXlYLREREhZ0,false
1,3,0,com.vladsch.flexmark.ast.NodeVisitorBase,false
0,2,0,com.vladsch.flexmark.ast.util.HtmlInnerVisitor,false
0,1,2,androidx.browser.browseractions.BrowserActionsFallbackMenuAdapter$ViewHolderItem,false
1,2,0,com.vladsch.flexmark.ext.yaml.front.matter.internal.YamlFrontMatterNodeFormatter$Factory,false
0,2,1,net.gsantner.markor.format.markdown.-$$Lambda$MarkdownTextActions$WAqKvtTpWadHaLanvdLhuNEslOc,false
0,7,2,com.vladsch.flexmark.util.sequence.SegmentedSequenceBuilder,false
0,2,3,net.gsantner.opoc.util.ShareUtil$2,false
1,2,0,com.vladsch.flexmark.util.options.MessageProvider$1,false
1,3,1,com.vladsch.flexmark.ext.emoji.EmojiVisitorExt$1,false
0,1,0,butterknife.OnClick,false
1,3,1,com.vladsch.flexmark.ast.util.BlockVisitorExt$9,false
1,3,1,com.vladsch.flexmark.ast.util.BlockVisitorExt$8,false
1,3,1,com.vladsch.flexmark.ast.util.BlockVisitorExt$1,false
1,3,1,com.vladsch.flexmark.ast.util.BlockVisitorExt$3,false
1,3,1,com.vladsch.flexmark.ast.util.BlockVisitorExt$2,false
1,3,1,com.vladsch.flexmark.ast.util.BlockVisitorExt$5,false
1,3,1,com.vladsch.flexmark.ast.util.BlockVisitorExt$4,false
1,3,1,com.vladsch.flexmark.ast.util.BlockVisitorExt$7,false
1,3,1,com.vladsch.flexmark.ast.util.BlockVisitorExt$6,false
1,2,0,com.vladsch.flexmark.ext.gfm.strikethrough.internal.StrikethroughYouTrackRenderer$Factory,false
4,4,3,butterknife.OnItemSelected$Callback,false
1,3,2,com.vladsch.flexmark.util.html.MutableAttributeImpl$1,false
1,3,3,com.vladsch.flexmark.util.html.MutableAttributeImpl$2,false
10,5,0,com.vladsch.flexmark.parser.block.DocumentPostProcessorFactory,false
4,4,4,com.vladsch.flexmark.util.format.options.TrailingSpaces,false
4,4,3,net.gsantner.markor.App,false
8,5,2,net.gsantner.opoc.format.todotxt.SttCommander$SttTaskSimpleComparator,false
0,2,1,com.vladsch.flexmark.internal.DocumentParser$ParagraphPreProcessorDependencyStage,false
3,3,1,com.vladsch.flexmark.internal.PostProcessorManager$PostProcessDependencyHandler$1,false
0,1,0,butterknife.OnItemClick,false
6,4,0,com.vladsch.flexmark.ast.HtmlInlineBase,false
0,2,1,com.vladsch.flexmark.html.HtmlRenderer$RendererDependencyStage,false
0,0,0,com.vladsch.flexmark.ast.DoNotDecorate,false
0,2,4,net.gsantner.markor.ui.-$$Lambda$NewFileDialog$W40KRJQw2_PxZ0Z8Ohh-5jdml-U,false
0,2,2,com.pixplicity.generate.Rate$Builder$1,false
1,3,1,com.vladsch.flexmark.ext.emoji.internal.EmojiJiraRenderer$1,false
0,6,0,com.mobsandgeeks.adapters.InstantText,false
10,5,0,com.vladsch.flexmark.ast.WhiteSpace,false
3,6,0,com.vladsch.flexmark.parser.block.BlockStart,false
1,2,0,com.vladsch.flexmark.ext.gfm.tasklist.internal.TaskListNodeFormatter$Factory,false
0,1,4,net.gsantner.opoc.ui.FilesystemDialogAdapter$UiFilesystemDialogViewHolder,false
0,1,0,com.vladsch.flexmark.util.IntConsumer,false
1,3,1,com.vladsch.flexmark.ext.gfm.tasklist.internal.TaskListNodeFormatter$1,false
0,1,2,com.vladsch.flexmark.ext.gfm.tasklist.internal.TaskListNodeFormatter$4,false
1,3,1,com.vladsch.flexmark.ext.gfm.tasklist.internal.TaskListNodeFormatter$2,false
1,3,1,com.vladsch.flexmark.ext.gfm.tasklist.internal.TaskListNodeFormatter$3,false
0,1,0,butterknife.BindViews,false
0,0,0,androidx.preference.internal.package-info,false
0,2,2,other.writeily.activity.-$$Lambda$WrFilesystemListFragment$f05-EhftVtBvKAjQt-LAaS6HH8k,false
4,4,4,butterknife.OnPageChange$Callback,false
0,2,0,com.vladsch.flexmark.parser.InlineParserExtensionFactory,false
0,2,1,net.gsantner.markor.activity.-$$Lambda$DocumentActivity$xCovpvBJFf3ri41hXjOPiR0FxDY,false
0,0,0,androidx.browser.browseractions.BrowserActionsIntent$BrowserActionsItemId,false
1,2,0,other.writeily.widget.WrFilesWidgetService,false
0,9,1,com.vladsch.flexmark.util.options.DataSet,false
0,0,0,com.vladsch.flexmark.ast.DoNotLinkDecorate,false
0,1,0,com.vladsch.flexmark.util.ValueRunnable,false
0,2,2,net.gsantner.markor.format.markdown.-$$Lambda$MarkdownTextActions$puBjc9LJlNoK79zPUPt6V_2T9EQ,false
1,2,0,com.vladsch.flexmark.jira.converter.internal.JiraConverterNodeRenderer$Factory,false
0,2,0,com.vladsch.flexmark.formatter.internal.PhasedNodeFormatter,false
0,1,0,org.nibor.autolink.LinkRenderer,false
3,3,0,com.vladsch.flexmark.ext.toc.SimTocOptionList,false
1,2,1,androidx.versionedparcelable.VersionedParcel$1,false
1,3,4,net.gsantner.markor.ui.NewFileDialog$1,false
6,4,1,com.vladsch.flexmark.util.mappers.BlockClassifier,false
1,3,1,com.vladsch.flexmark.ext.wikilink.internal.WikiLinkNodeRenderer$2,false
1,3,1,com.vladsch.flexmark.ext.wikilink.internal.WikiLinkNodeRenderer$1,false
1,3,1,com.vladsch.flexmark.ext.tables.internal.TableNodeFormatter$5,false
1,3,1,com.vladsch.flexmark.ext.tables.internal.TableNodeFormatter$6,false
1,3,1,com.vladsch.flexmark.ext.tables.internal.TableNodeFormatter$7,false
1,3,1,com.vladsch.flexmark.ext.tables.internal.TableNodeFormatter$8,false
1,3,1,com.vladsch.flexmark.ext.tables.internal.TableNodeFormatter$1,false
1,3,1,com.vladsch.flexmark.ext.tables.internal.TableNodeFormatter$2,false
1,3,2,com.pixplicity.generate.Rate$1,false
1,3,1,com.vladsch.flexmark.ext.tables.internal.TableNodeFormatter$3,false
0,2,2,com.pixplicity.generate.Rate$2,false
1,3,1,com.vladsch.flexmark.ext.tables.internal.TableNodeFormatter$4,false
1,2,0,butterknife.Unbinder$1,false
1,2,0,net.gsantner.markor.activity.openeditor.OpenEditorTodoActivity,false
10,5,2,net.gsantner.markor.ui.FileInfoDialog,false
6,4,0,com.vladsch.flexmark.ext.toc.SimTocOption,false
1,3,1,com.vladsch.flexmark.ext.ins.internal.InsNodeRenderer$1,false
0,1,0,butterknife.R,false
0,2,3,com.pixplicity.generate.Rate$3,false
0,2,1,com.pixplicity.generate.Rate$4,false
0,2,2,com.pixplicity.generate.Rate$5,false
0,2,1,com.pixplicity.generate.Rate$6,false
0,2,2,com.pixplicity.generate.Rate$7,false
0,2,3,com.pixplicity.generate.Rate$8,false
0,1,0,com.mobsandgeeks.adapters.ViewHandler,false
0,2,1,net.gsantner.markor.activity.-$$Lambda$MainActivity$66gGKlCnlilcjhZxlLb5v4y3n60,false
0,1,0,com.vladsch.flexmark.internal.inline.AsteriskDelimiterProcessor,false
0,2,1,net.gsantner.markor.activity.-$$Lambda$MainActivity$wrif3kCvRDfOdQflbJY24zUuMX8,false
1,2,0,com.vladsch.flexmark.ext.tables.internal.TableNodeFormatter$Factory,false
3,3,1,com.vladsch.flexmark.util.mappers.NullCharacterMapper,false
0,2,4,net.gsantner.markor.format.general.DatetimeFormatDialog$2,false
10,5,0,com.vladsch.flexmark.ast.HtmlBlockBase,false
0,2,3,net.gsantner.markor.activity.DocumentShareIntoFragment_ViewBinding,false
0,1,0,net.gsantner.markor.ui.hleditor.SpanCreator,false
0,3,0,com.vladsch.flexmark.util.dependency.Dependent,false
1,3,1,com.vladsch.flexmark.ext.gfm.strikethrough.SubscriptVisitorExt$1,false
0,2,1,net.gsantner.markor.ui.hleditor.-$$Lambda$Highlighter$Set0v5dRVSGojh9LLlDhGmgCbrM,false
10,5,0,androidx.versionedparcelable.ParcelImpl$1,false
0,1,0,com.vladsch.flexmark.html.renderer.DelegatingNodeRendererFactory,false
0,2,4,net.gsantner.markor.format.markdown.MarkdownTextActions$2,false
0,2,2,net.gsantner.markor.format.markdown.MarkdownTextActions$3,false
0,4,3,net.gsantner.markor.format.markdown.MarkdownTextActions$1,false
1,3,1,com.vladsch.flexmark.ext.gfm.strikethrough.internal.StrikethroughJiraRenderer$2,false
1,3,1,com.vladsch.flexmark.ext.gfm.strikethrough.internal.StrikethroughJiraRenderer$1,false
0,7,0,com.vladsch.flexmark.parser.delimiter.DelimiterRun,false
1,2,0,com.vladsch.flexmark.formatter.internal.NodeFormattingHandler,false
10,5,0,com.vladsch.flexmark.ast.HtmlBlock,false
0,8,1,com.vladsch.flexmark.ast.BlockQuote,false
0,1,0,com.vladsch.flexmark.ext.emoji.EmojiVisitor,false
0,4,0,com.vladsch.flexmark.html.LinkResolverFactory,false
3,3,0,androidx.versionedparcelable.CustomVersionedParcelable,false
0,9,0,com.vladsch.flexmark.parser.delimiter.DelimiterProcessor,false
4,4,4,com.vladsch.flexmark.util.format.options.CodeFenceMarker,false
0,2,0,com.vladsch.flexmark.util.Paired,false
0,1,0,butterknife.ButterKnife$Action,false
0,3,1,other.writeily.ui.WrFilesystemListAdapter$1,false
1,3,1,net.gsantner.markor.activity.DocumentActivity_ViewBinding,false
0,1,0,com.vladsch.flexmark.html.CustomNodeRenderer,false
0,1,0,com.vladsch.flexmark.ext.toc.internal.TocOptionsParser,false
0,2,1,other.writeily.ui.-$$Lambda$WrConfirmDialog$etgKXmArZObgIvNN91TAMC1sD7I,false
0,2,0,com.vladsch.flexmark.ext.yaml.front.matter.YamlFrontMatterVisitor,false
0,2,1,net.gsantner.markor.ui.hleditor.-$$Lambda$HighlightingEditor$FXcn-3d1wXLxMuCK5sYJUisUji0,false
3,3,0,com.vladsch.flexmark.ext.yaml.front.matter.internal.YamlFrontMatterBlockParser$BlockFactory,false
1,2,0,com.vladsch.flexmark.ext.toc.TocVisitorExt,false
13,6,3,other.writeily.ui.WrRenameDialog,false
0,1,0,net.gsantner.opoc.format.markdown.SimpleMarkdownParser$SmpFilter,false
0,2,3,net.gsantner.opoc.preference.-$$Lambda$GsPreferenceFragmentCompat$Uv-4rx8zVP3_f-MOkPHl8fuVy7E,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$10,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$12,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$11,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$14,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$13,false
0,1,0,com.vladsch.flexmark.html.LinkResolver,false
1,3,1,net.gsantner.markor.util.AppSettings$1,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$16,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$15,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$18,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$17,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$19,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$21,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$20,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$23,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$22,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$25,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$24,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$27,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$26,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$29,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$28,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$30,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$32,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$31,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$34,false
1,3,1,com.vladsch.flexmark.formatter.internal.CoreNodeFormatter$33,false
1,2,0,net.gsantner.opoc.format.markdown.SimpleMarkdownParser$4,false
1,2,0,net.gsantner.opoc.format.markdown.SimpleMarkdownParser$1,false
1,2,0,net.gsantner.opoc.format.markdown.SimpleMarkdownParser$3,false
1,2,0,net.gsantner.opoc.format.markdown.SimpleMarkdownParser$2,false
1,3,1,com.vladsch.flexmark.ext.gfm.strikethrough.internal.StrikethroughYouTrackRenderer$2,false
1,3,1,com.vladsch.flexmark.ext.gfm.strikethrough.internal.StrikethroughYouTrackRenderer$1,false
0,5,0,com.vladsch.flexmark.util.html.MutableAttribute,false
0,1,1,com.vladsch.flexmark.util.format.NumberFormat$1,false
0,2,1,net.gsantner.markor.util.MarkorWebViewClient,false
0,1,2,com.vladsch.flexmark.Extension,false
0,1,0,com.vladsch.flexmark.util.RunnableValue,false
0,2,1,com.vladsch.flexmark.internal.PostProcessorManager$PostProcessorDependencies,false
3,3,0,com.vladsch.flexmark.util.html.Escaping$4,false
3,3,0,com.vladsch.flexmark.util.html.Escaping$3,false
3,3,0,com.vladsch.flexmark.util.html.Escaping$5,false
3,3,0,com.vladsch.flexmark.util.html.Escaping$2,false
3,3,0,com.vladsch.flexmark.util.html.Escaping$1,false
0,5,4,com.vladsch.flexmark.util.format.FormattedCounter,false
3,3,1,net.gsantner.markor.ui.-$$Lambda$FilesystemDialogCreator$dgn20f8yo9pXm5xoBbH-0DFfEGA,false
1,2,0,com.vladsch.flexmark.parser.block.NodePostProcessor,false
0,1,0,com.vladsch.flexmark.ext.jekyll.front.matter.JekyllFrontMatterVisitor,false
6,4,0,com.vladsch.flexmark.ast.HtmlInlineComment,false
1,3,1,com.vladsch.flexmark.ast.util.HeadingCollectingVisitor$1,false
0,8,4,com.vladsch.flexmark.ext.toc.SimTocBlock,false
0,2,2,net.gsantner.markor.format.markdown.-$$Lambda$MarkdownTextActions$KqkKoJwjOuixdJ6TM_4lsENL2dg,false
0,8,4,com.vladsch.flexmark.util.sequence.ReplacedTextMapper,false
0,6,2,com.vladsch.flexmark.util.collection.OrderedSet$IndexedProxy,false
0,1,2,com.mobsandgeeks.adapters.InstantAdapterCore$Holder,false
0,2,2,com.flask.colorpicker.builder.ColorPickerDialogBuilder$2,false
0,2,2,com.flask.colorpicker.builder.ColorPickerDialogBuilder$1,false
0,1,0,butterknife.BindArray,false
13,6,1,org.nibor.autolink.internal.EmailScanner,false
0,4,3,com.vladsch.flexmark.util.options.ParserMessage,false
0,1,0,com.flask.colorpicker.R,false
1,3,1,com.vladsch.flexmark.ast.util.HtmlInnerVisitorExt$2,false
1,3,1,com.vladsch.flexmark.ext.anchorlink.AnchorLinkVisitorExt$1,false
1,3,1,com.vladsch.flexmark.ast.util.HtmlInnerVisitorExt$1,false
3,7,3,com.vladsch.flexmark.util.sequence.ReplacedTextRegion,false
3,3,0,com.vladsch.flexmark.internal.FencedCodeBlockParser$BlockFactory,false
0,1,0,net.gsantner.markor.format.TextFormat$TextFormatApplier,false
0,6,2,net.gsantner.markor.activity.MainActivity$SectionsPagerAdapter,false
1,2,0,com.vladsch.flexmark.ast.util.AttributeProvidingHandler,false
0,1,0,com.vladsch.flexmark.ext.wikilink.WikiLinkVisitor,false
0,2,1,net.gsantner.markor.format.general.-$$Lambda$CommonTextActions$RQpUfucli3jYFh2jMK8YGX_ck3g,false
3,3,0,com.vladsch.flexmark.ast.Emphasis,false
1,3,1,net.gsantner.markor.activity.SettingsActivity$SettingsFragmentMaster$4,false
1,3,1,net.gsantner.markor.activity.SettingsActivity$SettingsFragmentMaster$3,false
1,3,1,net.gsantner.markor.activity.SettingsActivity$SettingsFragmentMaster$2,false
0,3,2,net.gsantner.markor.activity.SettingsActivity$SettingsFragmentMaster$1,false
1,2,0,com.vladsch.flexmark.internal.CommonmarkInlineParser,false
1,3,1,com.vladsch.flexmark.superscript.internal.SuperscriptJiraRenderer$1,false
3,3,0,androidx.media.AudioAttributesCompatParcelizer,false
0,2,2,net.gsantner.markor.format.general.CommonTextActions$1$1,false
0,2,0,com.vladsch.flexmark.parser.PostProcessor,false
6,4,0,com.vladsch.flexmark.ext.autolink.internal.AutolinkNodePostProcessor$Factory,false
3,3,1,other.writeily.model.-$$Lambda$WrMarkorSingleton$Y55gzfpUrRdKjN7fNmS6kDcdqLM,false
0,5,2,org.nibor.autolink.LinkExtractor$Builder,false
0,3,0,com.vladsch.flexmark.parser.InlineParserExtension,false
1,2,0,com.vladsch.flexmark.ext.toc.SimTocVisitorExt,false
9,6,1,com.vladsch.flexmark.ext.wikilink.internal.WikiLinkNodeRenderer,false
6,4,0,com.vladsch.flexmark.ast.OrderedListItem,false
1,3,1,com.vladsch.flexmark.ext.toc.SimTocVisitorExt$1,false
1,3,1,com.vladsch.flexmark.ext.toc.SimTocVisitorExt$2,false
1,3,1,com.vladsch.flexmark.ext.toc.SimTocVisitorExt$3,false
1,3,1,com.vladsch.flexmark.ext.toc.SimTocVisitorExt$4,false
3,3,1,net.gsantner.markor.ui.-$$Lambda$NewFileDialog$O4vxbseC9D0D2Aee9_HRWJwYYeI,false
1,2,0,com.vladsch.flexmark.ast.util.HtmlInnerVisitorExt,false
10,5,0,com.vladsch.flexmark.ast.IndentedCodeBlock,false
0,1,0,com.pixplicity.generate.OnFeedbackListener,false
0,1,0,com.vladsch.flexmark.util.html.LengthTrackingAppendable,false
0,4,2,com.vladsch.flexmark.formatter.internal.NodeFormatterSubContext,false
1,2,0,com.vladsch.flexmark.superscript.internal.SuperscriptJiraRenderer$Factory,false
1,3,2,com.vladsch.flexmark.ext.gfm.tasklist.internal.FormatOptions,false
0,1,0,com.pixplicity.generate.R,false
0,5,0,net.gsantner.opoc.ui.FilesystemDialogData$SelectionListener,false
4,4,4,butterknife.OnTextChanged$Callback,false
0,2,1,other.com.flask.colorpicker.ColorPickerPreference$1,false
6,4,0,com.vladsch.flexmark.ast.HtmlCommentBlock,false
0,2,0,com.vladsch.flexmark.ext.jekyll.tag.JekyllTagVisitor,false
1,2,0,com.vladsch.flexmark.ext.gfm.strikethrough.StrikethroughVisitorExt,false
0,2,2,org.nibor.autolink.LinkExtractor$1,false
6,4,0,com.vladsch.flexmark.ast.Code,false
0,1,0,com.vladsch.flexmark.util.options.MutableDataSetter,false
3,3,1,net.gsantner.markor.ui.hleditor.-$$Lambda$Highlighter$OrGCgpYNS84PdyVIkowCL35UKhg,false
3,3,0,com.vladsch.flexmark.ext.tables.TableBody,false
0,1,1,com.vladsch.flexmark.ext.tables.TableCell$1,false
0,8,0,com.vladsch.flexmark.util.collection.IndexedItemSetMap,false
0,1,0,com.vladsch.flexmark.util.html.ConditionalFormatter,false
1,3,1,com.vladsch.flexmark.ext.emoji.internal.EmojiNodeRenderer$1,false
0,1,0,androidx.versionedparcelable.VersionedParcel$ParcelException,false
0,1,0,com.vladsch.flexmark.parser.block.ParagraphPreProcessorFactory,false
0,3,0,com.vladsch.flexmark.util.options.OptionParser,false
0,1,0,com.vladsch.flexmark.util.collection.iteration.ReversiblePeekingIterator,false
0,2,0,butterknife.BindFont,false
0,4,1,com.flask.colorpicker.renderer.ColorWheelRenderer,false
1,3,1,com.vladsch.flexmark.ast.util.TextCollectingVisitor$4,false
1,3,1,com.vladsch.flexmark.ast.util.TextCollectingVisitor$3,false
1,3,1,com.vladsch.flexmark.ast.util.TextCollectingVisitor$5,false
1,3,1,com.vladsch.flexmark.ast.util.TextCollectingVisitor$2,false
1,3,1,com.vladsch.flexmark.ast.util.TextCollectingVisitor$1,false
8,8,4,com.vladsch.flexmark.internal.BlockStartImpl,false
10,5,0,net.gsantner.opoc.ui.SearchOrCustomTextDialog,false
0,1,0,com.flask.colorpicker.OnColorSelectedListener,false
1,4,2,butterknife.internal.DebouncingOnClickListener,false
6,4,0,net.gsantner.markor.util.PermissionChecker,false
0,6,3,net.gsantner.opoc.format.todotxt.extension.SttTaskParserInfoExtension,false
0,1,0,com.vladsch.flexmark.ext.gfm.strikethrough.StrikethroughVisitor,false
1,2,0,com.vladsch.flexmark.ext.gfm.strikethrough.internal.StrikethroughJiraRenderer$Factory,false
0,1,0,butterknife.OnCheckedChanged,false
0,4,4,com.flask.colorpicker.CircleColorDrawable,false
6,4,1,com.vladsch.flexmark.util.mappers.NodeClassifier,false
0,2,1,com.flask.colorpicker.ColorPickerPreference$1,false
0,6,0,com.vladsch.flexmark.ast.DelimitedNode,false
5,7,2,com.vladsch.flexmark.ext.jekyll.tag.internal.JekyllTagBlockParser,false
9,6,1,com.vladsch.flexmark.ext.tables.TableRow,false
1,2,0,com.vladsch.flexmark.ast.CustomNode,false
0,3,1,net.gsantner.markor.format.general.BackgroundParagraphSpan,false
0,1,0,net.gsantner.markor.ui.hleditor.SpanCreator$ParagraphStyleCreator,false
1,2,0,com.vladsch.flexmark.ext.wikilink.internal.WikiLinkNodeRenderer$Factory,false
0,0,0,com.vladsch.flexmark.ext.yaml.front.matter.internal.YamlFrontMatterBlockParser$1,false
0,1,0,com.vladsch.flexmark.internal.InlineParserImpl$InlineParserExtensionDependencies,false
6,4,0,com.vladsch.flexmark.html.IndependentAttributeProviderFactory,false
0,3,0,com.vladsch.flexmark.parser.block.CharacterNodeFactory,false
13,6,2,com.vladsch.flexmark.ext.toc.internal.TocNodeRenderer,false
14,8,4,com.vladsch.flexmark.util.collection.iteration.BitSetIterator,false
4,4,2,com.vladsch.flexmark.ext.jekyll.tag.internal.JekyllTagInlineParserExtension,false
8,5,1,other.writeily.widget.WrWidgetConfigure,false
1,2,2,net.gsantner.markor.util.AppCast$VIEW_FOLDER_CHANGED,false
0,5,4,net.gsantner.markor.format.markdown.MarkdownTextActions$MarkdownTextActionsImpl$TextSelection,false
0,2,1,net.gsantner.markor.ui.hleditor.-$$Lambda$Highlighter$N57YcqKmhWcLXyQgzTcR4fdl3sg,false
1,3,1,com.vladsch.flexmark.ast.util.LineCollectingVisitor$1,false
1,3,1,com.vladsch.flexmark.ast.util.LineCollectingVisitor$4,false
1,3,1,com.vladsch.flexmark.ast.util.LineCollectingVisitor$5,false
1,3,1,com.vladsch.flexmark.ast.util.LineCollectingVisitor$2,false
1,3,1,com.vladsch.flexmark.ast.util.LineCollectingVisitor$3,false
4,4,4,com.vladsch.flexmark.ext.gfm.tasklist.TaskListItemCase,false
0,1,0,butterknife.OnLongClick,false
1,3,1,com.vladsch.flexmark.ast.util.LineCollectingVisitor$6,false
0,2,1,net.gsantner.markor.activity.-$$Lambda$DocumentActivity$HhqtjUKqqMu7whpfCUE56Fb2vE4,false
