lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name
185,26,46,org.wordpress.android.util.WPMobileStatsUtil
1378,57,23,org.wordpress.android.ui.comments.CommentDetailFragment
878,48,22,org.wordpress.android.models.MediaFile
189,26,11,org.wordpress.android.ui.accounts.NewUserPageFragment
429,35,22,org.wordpress.android.ui.accounts.WelcomeFragmentSignIn
81,15,10,org.wordpress.android.ui.reader.ReaderUserListActivity
1005,50,34,org.wordpress.android.widgets.photoview.PhotoViewAttacher
2764,77,36,org.wordpress.android.models.Post
173,23,13,org.wordpress.android.ui.posts.SelectCategoriesActivity
454,36,12,org.wordpress.android.ui.posts.PostsListFragment
130,21,12,org.wordpress.android.ui.accounts.SetupBlog
1304,57,36,org.wordpress.android.ui.posts.EditPostContentFragment
39,19,18,org.wordpress.android.ui.reader.adapters.ReaderCommentAdapter
234,25,17,org.wordpress.android.ui.media.MediaGalleryPickerActivity
344,28,14,org.wordpress.android.ui.prefs.PreferencesActivity
695,47,14,org.wordpress.android.ui.media.MediaBrowserActivity
1387,55,16,org.wordpress.android.ui.comments.CommentsListFragment
5949,114,37,org.wordpress.android.ui.reader.ReaderPostDetailFragment
324,29,27,org.wordpress.android.WordPress
189,22,17,org.wordpress.android.ui.themes.ThemeDetailsFragment
112,24,15,org.wordpress.android.ui.comments.CommentAdapter
515,35,11,org.wordpress.android.ui.notifications.NotificationsActivity
110,17,14,org.wordpress.android.ui.reader.ReaderReblogActivity
281,30,13,org.wordpress.android.util.LinePageIndicator
78,16,15,org.telegram.messenger.ApplicationLoader
114,20,17,org.telegram.messenger.HandshakeAction
165,31,27,org.telegram.messenger.Datacenter
1771,63,23,org.telegram.messenger.FileLoader
5772,113,44,org.telegram.messenger.ConnectionsManager
319,30,25,org.telegram.messenger.FileUploadOperation
396,29,10,org.telegram.messenger.Utilities
604,41,21,org.telegram.messenger.TcpConnection
116,25,28,org.telegram.messenger.FileLoadOperation
359,31,18,com.nexes.manager.EventHandler
93,19,11,com.nexes.manager.Settings
28,17,39,com.nexes.manager.Main
195,23,11,com.nexes.manager.FileManager
45,15,17,org.opengpx.lib.map.OsmMapViewerActivity
598,44,12,org.opengpx.CacheDetailActivity
688,41,10,org.opengpx.AdvancedSearchActivity
119,19,24,org.opengpx.lib.geocache.Cache
91,18,14,org.opengpx.GoogleMapViewerActivity
526,40,11,org.opengpx.SearchListActivity
2290,77,28,org.opengpx.lib.CacheDatabase
660,45,11,org.opengpx.CacheListActivity
126,45,9,org.brandroid.openmanager.data.OpenSMB
3267,82,10,org.brandroid.openmanager.data.OpenPath
636,45,15,org.brandroid.openmanager.data.OpenFTP
411,35,18,org.brandroid.openmanager.util.RootManager
1324,68,10,org.brandroid.openmanager.data.OpenFile
165,23,9,org.brandroid.openmanager.views.SeekBarActionView
13128,169,77,org.brandroid.openmanager.activities.OpenExplorer
332,33,9,org.brandroid.openmanager.data.FTPManager
503,38,24,org.brandroid.openmanager.util.EventHandler$BackgroundWork
286,28,9,org.brandroid.openmanager.fragments.LogViewerFragment
364,44,15,org.brandroid.openmanager.data.OpenSFTP
70,16,11,org.brandroid.openmanager.fragments.PickerFragment
1184,60,18,org.brandroid.openmanager.fragments.TextEditorFragment
578,40,12,org.brandroid.openmanager.data.OpenSearch
3001,90,23,org.brandroid.openmanager.fragments.ContentFragment
1003,47,20,org.brandroid.openmanager.util.EventHandler
108,17,18,org.brandroid.openmanager.util.ShellSession
1262,57,18,org.brandroid.openmanager.adapters.OpenBookmarks
483,38,19,org.brandroid.openmanager.adapters.ContentAdapter
860,49,23,org.brandroid.openmanager.util.BetterPopupWindow
277,27,11,org.brandroid.openmanager.data.BookmarkHolder
359,31,10,org.brandroid.openmanager.data.OpenMediaStore
159,19,11,org.brandroid.openmanager.activities.OpenApplication
846,44,9,org.brandroid.openmanager.data.OpenFileRoot
615,39,18,org.brandroid.openmanager.adapters.IconContextMenu
47,18,14,org.brandroid.openmanager.adapters.OpenPathDbAdapter
670,40,15,org.brandroid.openmanager.data.OpenCursor
413,31,13,org.brandroid.openmanager.data.OpenSCP
368,33,28,org.adblockplus.android.ProxyService
317,30,11,org.adblockplus.android.AdblockPlus
150,20,10,aarddict.android.LookupActivity
1837,71,29,aarddict.android.ArticleViewActivity
116,25,17,aarddict.android.DictionaryService
96,16,16,com.watabou.pixeldungeon.scenes.PixelScene
107,26,10,com.watabou.pixeldungeon.actors.Actor
582,37,25,com.watabou.pixeldungeon.actors.mobs.Mob
470,37,23,com.watabou.pixeldungeon.actors.Char
763,43,25,com.watabou.pixeldungeon.items.wands.Wand
894,48,34,com.watabou.pixeldungeon.items.Item
320,32,26,com.watabou.pixeldungeon.sprites.CharSprite
300,28,13,com.watabou.pixeldungeon.items.rings.Ring
1099,59,37,com.watabou.pixeldungeon.actors.hero.Hero
235,26,13,com.watabou.pixeldungeon.items.potions.Potion
103,18,12,com.watabou.pixeldungeon.levels.CityBossLevel
444,36,45,com.watabou.pixeldungeon.levels.Level
132,25,12,com.watabou.pixeldungeon.items.armor.Armor
255,43,29,com.watabou.pixeldungeon.scenes.GameScene
218,28,14,com.watabou.pixeldungeon.ui.QuickSlot
108,17,10,com.watabou.pixeldungeon.levels.CavesBossLevel
44,16,14,com.watabou.pixeldungeon.items.DewVial
201,22,19,com.watabou.pixeldungeon.scenes.InterlevelScene
112,16,11,com.watabou.pixeldungeon.actors.hero.HeroClass
258,32,39,com.watabou.pixeldungeon.Dungeon
116,17,10,com.watabou.pixeldungeon.levels.HallsBossLevel
205,26,26,com.eolwral.osmonitor.OSMonitorService
1165,54,24,com.eolwral.osmonitor.ui.MessageFragment
1299,55,29,com.eolwral.osmonitor.ui.ProcessFragment
196,24,14,com.eolwral.osmonitor.ui.MiscFragment
343,30,12,com.eolwral.osmonitor.ui.ConnectionFragment
54,17,58,org.adw.launcher.DragLayer
3965,102,64,org.adw.launcher.AllAppsSlidingView
62,20,13,org.adw.launcher.DesktopIndicator
4386,105,63,org.adw.launcher.Workspace
218,24,31,org.adw.launcher.HolderLayout
80,20,22,org.adw.launcher.DeleteZone
258,29,21,org.adw.launcher.MiniLauncher
93,23,27,org.adw.launcher.CustomScroller
110,21,31,org.adw.launcher.ResizeViewHandler
154,20,14,org.adw.launcher.Search
2580,77,24,org.adw.launcher.LauncherModel
301,30,18,org.adw.launcher.ActionButton
350,32,21,org.adw.launcher.NumberPicker
168,21,11,org.adw.launcher.ApplicationsAdapter
11939,179,152,org.adw.launcher.Launcher
906,49,25,org.adw.launcher.CellLayout
161,22,32,org.adw.launcher.AllAppsGridView
95,15,15,org.adw.launcher.MyLauncherSettings
5747,122,36,net.sourceforge.opencamera.MyApplicationInterface
4486,108,38,net.sourceforge.opencamera.MainActivity
6238,133,42,net.sourceforge.opencamera.CameraController.CameraController2
1826,64,24,net.sourceforge.opencamera.CameraController.CameraController2$CameraSettings
18994,221,125,net.sourceforge.opencamera.Preview.Preview
152,25,10,org.hystudio.android.dosbox.GLSurfaceView_SDL
43,15,13,org.hystudio.android.dosbox.GLSurfaceView_SDL$GLThread
98,16,10,org.hystudio.android.dosbox.DemoRenderer
1560,60,19,com.google.android.stardroid.source.proto.SourceProto$AstronomicalSourceProto
112,36,38,com.google.android.stardroid.activities.DynamicStarMapActivity
184,25,19,com.google.android.stardroid.control.AstronomerModelImpl
164,29,13,com.google.android.stardroid.renderer.SkyRenderer
141,23,10,com.google.android.stardroid.control.ControllerGroup
888,44,14,com.google.android.stardroid.source.proto.SourceProto$PointElementProto
107,19,16,com.google.android.stardroid.provider.ephemeris.Planet
704,40,10,com.google.android.stardroid.source.proto.SourceProto$LineElementProto
228,25,14,com.google.android.stardroid.renderer.RenderState
1054,48,17,com.google.android.stardroid.source.proto.SourceProto$LabelElementProto
80,17,10,org.tint.model.HistoryAdapter
133,26,14,org.tint.ui.activities.TintBrowserActivity
510,37,16,org.tint.ui.views.PhoneUrlBar
57,15,10,org.tint.ui.views.TabView
57,39,12,org.tint.addons.Addon
143,26,11,org.tint.ui.managers.BasePhoneUIManager
928,52,15,org.tint.ui.managers.BaseUIManager
2139,78,28,org.tint.ui.views.ScrollerView
204,24,13,org.tint.ui.preferences.SearchEnginePreference
542,36,17,org.tint.ui.managers.LegacyPhoneUIManager
84,16,9,org.tint.ui.preferences.WebsitesSettingsFragment$SiteAdapter
59,19,20,org.tint.ui.fragments.HistoryFragment
94,24,12,org.tint.providers.BookmarksWrapper
105,19,10,org.tint.ui.views.TabletUrlBar
150,21,21,org.tint.ui.fragments.BookmarksFragment
726,44,16,org.tint.ui.views.TabsScroller
